Time [s], Analyzer Name, Decoded Protocol Result
1.232903250000000,I2C,Setup Read to [0xFF] + NAK
1.233016000000000,I2C,Setup Write to [0xA0] + ACK
1.233098000000000,I2C,0x00 + ACK
1.233185875000000,I2C,Setup Read to [0xA1] + ACK
1.233266250000000,I2C,0x08 + ACK
1.233333625000000,I2C,0x16 + NAK
1.233423750000000,I2C,Setup Write to [0xA0] + ACK
1.233505750000000,I2C,0x02 + ACK
1.233593625000000,I2C,Setup Read to [0xA1] + ACK
1.233674000000000,I2C,0x00 + ACK
1.233741250000000,I2C,0x04 + NAK
1.233831000000000,I2C,Setup Write to [0xA0] + ACK
1.233913000000000,I2C,0x00 + ACK
1.234000875000000,I2C,Setup Read to [0xA1] + ACK
1.234081250000000,I2C,0x08 + ACK
1.234148625000000,I2C,0x16 + ACK
1.234215875000000,I2C,0x00 + ACK
1.234283125000000,I2C,0x04 + ACK
1.234350375000000,I2C,0xFF + ACK
1.234417750000000,I2C,0xFF + ACK
1.234485000000000,I2C,0xFF + ACK
1.234552250000000,I2C,0xFF + ACK
1.234619625000000,I2C,0x03 + ACK
1.234686875000000,I2C,0xFF + ACK
1.234754125000000,I2C,0x01 + ACK
1.234821500000000,I2C,0x00 + ACK
1.234888750000000,I2C,0x01 + ACK
1.234956000000000,I2C,0x03 + ACK
1.235023375000000,I2C,0x00 + ACK
1.235090625000000,I2C,0x01 + ACK
1.235157875000000,I2C,0x0A + ACK
1.235225250000000,I2C,0x55 + ACK
1.235292500000000,I2C,0x53 + ACK
1.235359750000000,I2C,0x42 + ACK
1.235427125000000,I2C,0x20 + ACK
1.235494375000000,I2C,0x56 + ACK
1.235561625000000,I2C,0x69 + ACK
1.235629000000000,I2C,0x64 + ACK
1.235696250000000,I2C,0x65 + ACK
1.235763500000000,I2C,0x6F + ACK
1.235830750000000,I2C,0xFF + ACK
1.235898125000000,I2C,0xFF + ACK
1.235965375000000,I2C,0xFF + ACK
1.236032625000000,I2C,0xFF + ACK
1.236100000000000,I2C,0xFF + ACK
1.236167250000000,I2C,0xFF + ACK
1.236234500000000,I2C,0x0A + ACK
1.236301875000000,I2C,0x55 + ACK
1.236369125000000,I2C,0x53 + ACK
1.236436375000000,I2C,0x42 + ACK
1.236503750000000,I2C,0x20 + ACK
1.236571000000000,I2C,0x41 + ACK
1.236638250000000,I2C,0x75 + ACK
1.236705500000000,I2C,0x64 + ACK
1.236772875000000,I2C,0x69 + ACK
1.236840125000000,I2C,0x6F + ACK
1.236907375000000,I2C,0xFF + ACK
1.236974750000000,I2C,0xFF + ACK
1.237042000000000,I2C,0xFF + ACK
1.237109250000000,I2C,0xFF + ACK
1.237176625000000,I2C,0xFF + ACK
1.237243875000000,I2C,0xFF + ACK
1.237311125000000,I2C,0x02 + ACK
1.237378500000000,I2C,0xC8 + ACK
1.237445750000000,I2C,0x3B + ACK
1.237513000000000,I2C,0x78 + ACK
1.237580375000000,I2C,0xFF + ACK
1.237647625000000,I2C,0xE4 + ACK
1.237714875000000,I2C,0xF6 + ACK
1.237782125000000,I2C,0xD8 + NAK
1.237990500000000,I2C,Setup Write to [0xA0] + ACK
1.238072500000000,I2C,0x02 + ACK
1.238160375000000,I2C,Setup Read to [0xA1] + ACK
1.238240750000000,I2C,0x00 + ACK
1.238308000000000,I2C,0x04 + NAK
1.238399000000000,I2C,Setup Write to [0xA0] + ACK
1.238481000000000,I2C,0x00 + ACK
1.238568875000000,I2C,Setup Read to [0xA1] + ACK
1.238649250000000,I2C,0x08 + NAK
1.238739375000000,I2C,Setup Write to [0xA0] + ACK
1.238821375000000,I2C,0x01 + ACK
1.238909250000000,I2C,Setup Read to [0xA1] + ACK
1.238989625000000,I2C,0x16 + NAK
1.239079750000000,I2C,Setup Write to [0xA0] + ACK
1.239161750000000,I2C,0x02 + ACK
1.239249625000000,I2C,Setup Read to [0xA1] + ACK
1.239330125000000,I2C,0x00 + NAK
1.239420250000000,I2C,Setup Write to [0xA0] + ACK
1.239502250000000,I2C,0x03 + ACK
1.239590125000000,I2C,Setup Read to [0xA1] + ACK
1.239670500000000,I2C,0x04 + NAK
1.239760625000000,I2C,Setup Write to [0xA0] + ACK
1.239842625000000,I2C,0x04 + ACK
1.239930500000000,I2C,Setup Read to [0xA1] + ACK
1.240010875000000,I2C,0xFF + NAK
1.240101000000000,I2C,Setup Write to [0xA0] + ACK
1.240183000000000,I2C,0x05 + ACK
1.240270875000000,I2C,Setup Read to [0xA1] + ACK
1.240351250000000,I2C,0xFF + NAK
1.240441375000000,I2C,Setup Write to [0xA0] + ACK
1.240523375000000,I2C,0x06 + ACK
1.240611250000000,I2C,Setup Read to [0xA1] + ACK
1.240691625000000,I2C,0xFF + NAK
1.240781875000000,I2C,Setup Write to [0xA0] + ACK
1.240863750000000,I2C,0x07 + ACK
1.240951750000000,I2C,Setup Read to [0xA1] + ACK
1.241032125000000,I2C,0xFF + NAK
1.241122250000000,I2C,Setup Write to [0xA0] + ACK
1.241204250000000,I2C,0x08 + ACK
1.241292125000000,I2C,Setup Read to [0xA1] + ACK
1.241372500000000,I2C,0x03 + NAK
1.241462625000000,I2C,Setup Write to [0xA0] + ACK
1.241544625000000,I2C,0x09 + ACK
1.241632500000000,I2C,Setup Read to [0xA1] + ACK
1.241712875000000,I2C,0xFF + NAK
1.241803000000000,I2C,Setup Write to [0xA0] + ACK
1.241885000000000,I2C,0x0A + ACK
1.241972875000000,I2C,Setup Read to [0xA1] + ACK
1.242053250000000,I2C,0x01 + NAK
1.242143500000000,I2C,Setup Write to [0xA0] + ACK
1.242225375000000,I2C,0x0B + ACK
1.242313375000000,I2C,Setup Read to [0xA1] + ACK
1.242393750000000,I2C,0x00 + NAK
1.242483875000000,I2C,Setup Write to [0xA0] + ACK
1.242565875000000,I2C,0x0C + ACK
1.242653750000000,I2C,Setup Read to [0xA1] + ACK
1.242734125000000,I2C,0x01 + NAK
1.242824250000000,I2C,Setup Write to [0xA0] + ACK
1.242906250000000,I2C,0x0D + ACK
1.242994125000000,I2C,Setup Read to [0xA1] + ACK
1.243074500000000,I2C,0x03 + NAK
1.243164625000000,I2C,Setup Write to [0xA0] + ACK
1.243246625000000,I2C,0x0E + ACK
1.243334500000000,I2C,Setup Read to [0xA1] + ACK
1.243414875000000,I2C,0x00 + NAK
1.243505125000000,I2C,Setup Write to [0xA0] + ACK
1.243587000000000,I2C,0x0F + ACK
1.243674875000000,I2C,Setup Read to [0xA1] + ACK
1.243755375000000,I2C,0x01 + NAK
1.243845500000000,I2C,Setup Write to [0xA0] + ACK
1.243927500000000,I2C,0x10 + ACK
1.244015375000000,I2C,Setup Read to [0xA1] + ACK
1.244095750000000,I2C,0x0A + NAK
1.244185875000000,I2C,Setup Write to [0xA0] + ACK
1.244267875000000,I2C,0x11 + ACK
1.244355750000000,I2C,Setup Read to [0xA1] + ACK
1.244436125000000,I2C,0x55 + NAK
1.244526250000000,I2C,Setup Write to [0xA0] + ACK
1.244608250000000,I2C,0x12 + ACK
1.244696125000000,I2C,Setup Read to [0xA1] + ACK
1.244776500000000,I2C,0x53 + NAK
1.244866625000000,I2C,Setup Write to [0xA0] + ACK
1.244948625000000,I2C,0x13 + ACK
1.245036500000000,I2C,Setup Read to [0xA1] + ACK
1.245117000000000,I2C,0x42 + NAK
1.245207125000000,I2C,Setup Write to [0xA0] + ACK
1.245289000000000,I2C,0x14 + ACK
1.245377000000000,I2C,Setup Read to [0xA1] + ACK
1.245457375000000,I2C,0x20 + NAK
1.245547500000000,I2C,Setup Write to [0xA0] + ACK
1.245629500000000,I2C,0x15 + ACK
1.245717375000000,I2C,Setup Read to [0xA1] + ACK
1.245797750000000,I2C,0x56 + NAK
1.245887875000000,I2C,Setup Write to [0xA0] + ACK
1.245969875000000,I2C,0x16 + ACK
1.246057750000000,I2C,Setup Read to [0xA1] + ACK
1.246138125000000,I2C,0x69 + NAK
1.246228250000000,I2C,Setup Write to [0xA0] + ACK
1.246310250000000,I2C,0x17 + ACK
1.246398125000000,I2C,Setup Read to [0xA1] + ACK
1.246478500000000,I2C,0x64 + NAK
1.246568750000000,I2C,Setup Write to [0xA0] + ACK
1.246650625000000,I2C,0x18 + ACK
1.246738625000000,I2C,Setup Read to [0xA1] + ACK
1.246819000000000,I2C,0x65 + NAK
1.246909125000000,I2C,Setup Write to [0xA0] + ACK
1.246991125000000,I2C,0x19 + ACK
1.247079000000000,I2C,Setup Read to [0xA1] + ACK
1.247159375000000,I2C,0x6F + NAK
1.247249500000000,I2C,Setup Write to [0xA0] + ACK
1.247331500000000,I2C,0x1A + ACK
1.247419375000000,I2C,Setup Read to [0xA1] + ACK
1.247499750000000,I2C,0xFF + NAK
1.247589875000000,I2C,Setup Write to [0xA0] + ACK
1.247671875000000,I2C,0x1B + ACK
1.247759750000000,I2C,Setup Read to [0xA1] + ACK
1.247840125000000,I2C,0xFF + NAK
1.247930375000000,I2C,Setup Write to [0xA0] + ACK
1.248012250000000,I2C,0x1C + ACK
1.248100250000000,I2C,Setup Read to [0xA1] + ACK
1.248180625000000,I2C,0xFF + NAK
1.248270750000000,I2C,Setup Write to [0xA0] + ACK
1.248352750000000,I2C,0x1D + ACK
1.248440625000000,I2C,Setup Read to [0xA1] + ACK
1.248521000000000,I2C,0xFF + NAK
1.248611125000000,I2C,Setup Write to [0xA0] + ACK
1.248693125000000,I2C,0x1E + ACK
1.248781000000000,I2C,Setup Read to [0xA1] + ACK
1.248861375000000,I2C,0xFF + NAK
1.248951500000000,I2C,Setup Write to [0xA0] + ACK
1.249033500000000,I2C,0x1F + ACK
1.249121375000000,I2C,Setup Read to [0xA1] + ACK
1.249201750000000,I2C,0xFF + NAK
1.249291875000000,I2C,Setup Write to [0xA0] + ACK
1.249373875000000,I2C,0x20 + ACK
1.249461750000000,I2C,Setup Read to [0xA1] + ACK
1.249542250000000,I2C,0x0A + NAK
1.249632375000000,I2C,Setup Write to [0xA0] + ACK
1.249714375000000,I2C,0x21 + ACK
1.249802250000000,I2C,Setup Read to [0xA1] + ACK
1.249882625000000,I2C,0x55 + NAK
1.249972750000000,I2C,Setup Write to [0xA0] + ACK
1.250054750000000,I2C,0x22 + ACK
1.250142625000000,I2C,Setup Read to [0xA1] + ACK
1.250223000000000,I2C,0x53 + NAK
1.250313125000000,I2C,Setup Write to [0xA0] + ACK
1.250395125000000,I2C,0x23 + ACK
1.250483000000000,I2C,Setup Read to [0xA1] + ACK
1.250563375000000,I2C,0x42 + NAK
1.250653500000000,I2C,Setup Write to [0xA0] + ACK
1.250735500000000,I2C,0x24 + ACK
1.250823375000000,I2C,Setup Read to [0xA1] + ACK
1.250903750000000,I2C,0x20 + NAK
1.250994000000000,I2C,Setup Write to [0xA0] + ACK
1.251075875000000,I2C,0x25 + ACK
1.251163875000000,I2C,Setup Read to [0xA1] + ACK
1.251244250000000,I2C,0x41 + NAK
1.251334375000000,I2C,Setup Write to [0xA0] + ACK
1.251416375000000,I2C,0x26 + ACK
1.251504250000000,I2C,Setup Read to [0xA1] + ACK
1.251584625000000,I2C,0x75 + NAK
1.251674750000000,I2C,Setup Write to [0xA0] + ACK
1.251756750000000,I2C,0x27 + ACK
1.251844625000000,I2C,Setup Read to [0xA1] + ACK
1.251925000000000,I2C,0x64 + NAK
1.252015125000000,I2C,Setup Write to [0xA0] + ACK
1.252097125000000,I2C,0x28 + ACK
1.252185000000000,I2C,Setup Read to [0xA1] + ACK
1.252265375000000,I2C,0x69 + NAK
1.252355625000000,I2C,Setup Write to [0xA0] + ACK
1.252437500000000,I2C,0x29 + ACK
1.252525500000000,I2C,Setup Read to [0xA1] + ACK
1.252605875000000,I2C,0x6F + NAK
1.252696000000000,I2C,Setup Write to [0xA0] + ACK
1.252778000000000,I2C,0x2A + ACK
1.252865875000000,I2C,Setup Read to [0xA1] + ACK
1.252946250000000,I2C,0xFF + NAK
1.253036375000000,I2C,Setup Write to [0xA0] + ACK
1.253118375000000,I2C,0x2B + ACK
1.253206250000000,I2C,Setup Read to [0xA1] + ACK
1.253286625000000,I2C,0xFF + NAK
1.253376750000000,I2C,Setup Write to [0xA0] + ACK
1.253458750000000,I2C,0x2C + ACK
1.253546625000000,I2C,Setup Read to [0xA1] + ACK
1.253627000000000,I2C,0xFF + NAK
1.253717250000000,I2C,Setup Write to [0xA0] + ACK
1.253799125000000,I2C,0x2D + ACK
1.253887000000000,I2C,Setup Read to [0xA1] + ACK
1.253967500000000,I2C,0xFF + NAK
1.254057625000000,I2C,Setup Write to [0xA0] + ACK
1.254139625000000,I2C,0x2E + ACK
1.254227500000000,I2C,Setup Read to [0xA1] + ACK
1.254307875000000,I2C,0xFF + NAK
1.254398000000000,I2C,Setup Write to [0xA0] + ACK
1.254480000000000,I2C,0x2F + ACK
1.254567875000000,I2C,Setup Read to [0xA1] + ACK
1.254648250000000,I2C,0xFF + NAK
1.254738375000000,I2C,Setup Write to [0xA0] + ACK
1.254820375000000,I2C,0x30 + ACK
1.254908250000000,I2C,Setup Read to [0xA1] + ACK
1.254988625000000,I2C,0x02 + NAK
1.255078750000000,I2C,Setup Write to [0xA0] + ACK
1.255160750000000,I2C,0x31 + ACK
1.255248625000000,I2C,Setup Read to [0xA1] + ACK
1.255329000000000,I2C,0xC8 + NAK
1.255419250000000,I2C,Setup Write to [0xA0] + ACK
1.255501250000000,I2C,0x32 + ACK
1.255589125000000,I2C,Setup Read to [0xA1] + ACK
1.255669500000000,I2C,0x3B + NAK
1.255759625000000,I2C,Setup Write to [0xA0] + ACK
1.255841625000000,I2C,0x33 + ACK
1.255929500000000,I2C,Setup Read to [0xA1] + ACK
1.256009875000000,I2C,0x78 + NAK
1.256100000000000,I2C,Setup Write to [0xA0] + ACK
1.256182000000000,I2C,0x34 + ACK
1.256269875000000,I2C,Setup Read to [0xA1] + ACK
1.256350250000000,I2C,0xFF + NAK
1.256440375000000,I2C,Setup Write to [0xA0] + ACK
1.256522375000000,I2C,0x35 + ACK
1.256610250000000,I2C,Setup Read to [0xA1] + ACK
1.256690625000000,I2C,0xE4 + NAK
1.256780875000000,I2C,Setup Write to [0xA0] + ACK
1.256862750000000,I2C,0x36 + ACK
1.256950750000000,I2C,Setup Read to [0xA1] + ACK
1.257031125000000,I2C,0xF6 + NAK
1.257121250000000,I2C,Setup Write to [0xA0] + ACK
1.257203250000000,I2C,0x37 + ACK
1.257291125000000,I2C,Setup Read to [0xA1] + ACK
1.257371500000000,I2C,0xD8 + NAK
2.213868750000000,I2C,Setup Write to [0xA0] + ACK
2.213950625000000,I2C,0x0B + ACK
2.214032625000000,I2C,0x00 + ACK
